info,name,price
安筱鹏 （著） | 电子工业出版社 | 9787121359095 | 2019-2-1出版 | 2019-3-2 上架,重构：数字化转型的逻辑,59.25
"[美]加里·R. 赖特(Gary R. Wright),W. 理查德·史蒂文斯(W. Richard Stevens) （著） | 机械工业出版社 | 9787111617938 | 2019-2-26出版 | 2019-3-1 上架",TCP/IP详解 卷2：实现,97.30
[美] 马克·米凯利斯（Mark Michaelis） （著） | 机械工业出版社 | 9787111618980 | 2019-2-26出版 | 2019-3-1 上架,C# 7.0本质论（英文版）[按需印刷],149.00
[澳]杰夫瑞·艾文（Jeffrey Aven） （著） | 机械工业出版社 | 9787111620037 | 2019-2-26出版 | 2019-3-1 上架,Spark数据分析：基于Python语言（英文版）,55.30
互联网 数字艺术研究院 （著） | 人民邮电出版社 | 9787115487155 | 2018-11-1出版 | 2019-2-27 上架,中文版Photoshop CS6应用技法教程,63.84
如鹏教育 杨中科 （著） | 人民邮电出版社 | 9787115500533 | 2019-2-1出版 | 2019-2-27 上架,零基础趣学C语言,47.84
任群 （著） | 电子工业出版社 | 9787121349713 | 2018-10-1出版 | 2019-2-27 上架,中文版Photoshop CS6基础与进阶教程（全彩）（含DVD光盘1张）,79.84
彭斌 （著） | 电子工业出版社 | 9787121350573 | 2018-10-1出版 | 2019-2-27 上架,多媒体计算机基础项目教程,45.44
郑东营 （著） | 电子工业出版社 | 9787121341229 | 2018-12-1出版 | 2019-2-27 上架,计算机应用基础（Windows 7+Office 2010）,28.00
李焕春   万继平  王颖   许晓萍    苏希   张菁楠   张伟敬 （著） | 清华大学出版社 | 9787302508472 | 2018-9-1出版 | 2019-2-27 上架,计算机应用基础——非电子信息类专业适用(零起点),38.40
谷志茹 黄晓峰 王奇 （著） | 机械工业出版社* | 9787111581260 | 2018-12-1出版 | 2019-2-27 上架,面向AMI的电力线通信理论和应用,32.00
北京兆迪科技有限公司 （著） | 机械工业出版社* | 9787111616931 | 2019-2-1出版 | 2019-2-27 上架,UG NX 12.0数控加工实例精解,55.92
葛文军 （著） | 机械工业出版社* | 9787111614265 | 2019-2-1出版 | 2019-2-27 上架,Mastercam数控加工自动编程入门到精通 第2版,47.20
周云波 （著） | 电子工业出版社 | 9787121358609 | 2019-1-1出版 | 2019-2-27 上架,串行通信技术——面向嵌入式系统开发,54.40
"郭浩,苏伟,朱德海 （著） | 机械工业出版社* | 9787111615521 | 2019-2-1出版 | 2019-2-27 上架",点云库PCL从入门到精通,79.92
陈亚威 蒋迪 （著） | 人民邮电出版社 | 9787115496003 | 2019-3-1出版 | 2019-2-26 上架,虚拟化技术应用与实践,38.35
陆鑫 张凤荔 陈安龙 （著） | 人民邮电出版社 | 9787115502742 | 2019-3-1出版 | 2019-2-26 上架,数据库系统——原理、设计与编程（MOOC版）,46.05
唐永华 刘德山  李玲 （著） | 人民邮电出版社 | 9787115498793 | 2019-2-1出版 | 2019-2-26 上架,Python 3 程序设计,38.35
"Autodesk, Inc. （著） | 电子工业出版社 | 9787121358333 | 2019-2-1出版 | 2019-2-26 上架",Autodesk Revit Architecture 2019官方标准教程,74.25
"Autodesk, Inc. （著） | 电子工业出版社 | 9787121359293 | 2019-2-1出版 | 2019-2-26 上架",Autodesk Revit MEP 2019管线综合设计应用,89.25
黄靖钧 冯立灿 （著） | 电子工业出版社 | 9787121339066 | 2019-2-1出版 | 2019-2-26 上架,容器云运维实战--Docker与Kubernetes集群,66.75
杨洋 （著） | 电子工业出版社 | 9787121354649 | 2019-2-1出版 | 2019-2-26 上架,深入浅出Excel VBA,66.75
