APG,BPG,FG,FT,PTs,RPG,SPG,Three_PT,career_minute,career_play,player_contract,player_height,player_name,player_num,player_position,player_salary,player_team,player_weight
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.98米/6尺6,萨纳西斯-阿德托昆博,43,F,本年薪金：万美元,密尔沃基雄鹿,93公斤/205磅
场均助攻2.3次,场均盖帽1.02个,投篮命中率为49.1%,罚球命中率为73.4%,场均得分14.1分,场均篮板7.4个,场均抢断1.29次,三分命中率为33.4%,职业生涯场均出战29.3分钟,职业生涯每赛季场均出场72场,3年9150万美元，2017年夏天签，2020年夏天到期，2019-2020赛季球队选项,2.03米/6尺8,保罗-米尔萨普,4,F,本年薪金：3050万美元,丹佛掘金,112公斤/246磅
场均助攻2.7次,场均盖帽0.50个,投篮命中率为50.2%,罚球命中率为72.2%,场均得分15.4分,场均篮板8.9个,场均抢断0.63次,三分命中率为30.7%,职业生涯场均出战28.5分钟,职业生涯每赛季场均出场62场,3年6300万美元，2019年夏天签，2022年到期,2.06米/6尺9,朱利叶斯-兰德尔,30,F,本年薪金：2000万美元,纽约尼克斯,113公斤/250磅
场均助攻5.5次,场均盖帽0.39个,投篮命中率为41.8%,罚球命中率为83.5%,场均得分19.8分,场均篮板3.8个,场均抢断1.32次,三分命中率为35.7%,职业生涯场均出战34.1分钟,职业生涯每赛季场均出场75场,4年1.41亿美元，2019年夏天签，2023年到期,1.85米/6尺1,肯巴-沃克,8,G,本年薪金：3274万美元,波士顿凯尔特人,83公斤/184磅
场均助攻0.2次,场均盖帽0.06个,投篮命中率为47.4%,罚球命中率为60.0%,场均得分1.4分,场均篮板1.4个,场均抢断0.35次,三分命中率为0%,职业生涯场均出战4.1分钟,职业生涯每赛季场均出场17场,NULL,2.06米/6尺9,贾里德-范德比尔特,8,F,本年薪金：万美元,丹佛掘金,97公斤/214磅
场均助攻3.6次,场均盖帽0.05个,投篮命中率为49.4%,罚球命中率为80.7%,场均得分10.1分,场均篮板2.3个,场均抢断0.89次,三分命中率为41.2%,职业生涯场均出战23.5分钟,职业生涯每赛季场均出场42场,NULL,1.88米/6尺2,蒙特-莫里斯,11,G,本年薪金：万美元,丹佛掘金,79公斤/175磅
场均助攻0.9次,场均盖帽0.54个,投篮命中率为44.5%,罚球命中率为67.6%,场均得分5.2分,场均篮板3.4个,场均抢断0.43次,三分命中率为31.7%,职业生涯场均出战18.7分钟,职业生涯每赛季场均出场57场,NULL,1.98米/6尺6,托里-克雷格,3,F,本年薪金：万美元,丹佛掘金,98公斤/215磅
场均助攻0.8次,场均盖帽0.10个,投篮命中率为46.1%,罚球命中率为78.9%,场均得分7.2分,场均篮板1.7个,场均抢断0.47次,三分命中率为38.8%,职业生涯场均出战15.9分钟,职业生涯每赛季场均出场55场,NULL,1.96米/6尺5,马利克-比斯利,25,G,本年薪金：万美元,丹佛掘金,89公斤/196磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.18米/7尺2,波尔-波尔,10,C,本年薪金：万美元,丹佛掘金,94公斤/208磅
场均助攻1.4次,场均盖帽0.26个,投篮命中率为43.0%,罚球命中率为73.9%,场均得分11.3分,场均篮板4.6个,场均抢断0.68次,三分命中率为36.2%,职业生涯场均出战25.8分钟,职业生涯每赛季场均出场61场,2年2000万美元，2019年夏天签，2021年到期,2.06米/6尺9,马库斯-莫里斯,13,F,本年薪金：万美元,纽约尼克斯,107公斤/235磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.98米/6尺6,马克思-斯特鲁斯,28,G,本年薪金：万美元,波士顿凯尔特人,98公斤/215磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.8米/5尺11,特里蒙特-沃特斯,51,G,本年薪金：万美元,波士顿凯尔特人,76公斤/167磅
场均助攻0.3次,场均盖帽0.13个,投篮命中率为32.0%,罚球命中率为42.9%,场均得分2.7分,场均篮板0.7个,场均抢断0.07次,三分命中率为23.8%,职业生涯场均出战7.4分钟,职业生涯每赛季场均出场15场,NULL,1.98米/6尺6,小加里-特伦特,2,G,本年薪金：万美元,波特兰开拓者,93公斤/205磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.98米/6尺6,纳西尔-利特尔,9,F,本年薪金：万美元,波特兰开拓者,102公斤/224磅
场均助攻1.8次,场均盖帽0.44个,投篮命中率为41.9%,罚球命中率为70.8%,场均得分8.4分,场均篮板2.9个,场均抢断0.97次,三分命中率为35.0%,职业生涯场均出战19.8分钟,职业生涯每赛季场均出场61场,NULL,1.96米/6尺5,肯特-贝兹莫尔,24,G,本年薪金：万美元,波特兰开拓者,91公斤/201磅
场均助攻0.6次,场均盖帽2.25个,投篮命中率为56.9%,罚球命中率为60.7%,场均得分13.4分,场均篮板11.4个,场均抢断0.63次,三分命中率为30.0%,职业生涯场均出战25.9分钟,职业生涯每赛季场均出场49场,NULL,2.13米/7尺0,哈桑-怀特塞德,21,C,本年薪金：万美元,波特兰开拓者,120公斤/265磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.08米/6尺10,迪安-韦德,NULL,F,本年薪金：万美元,克利夫兰骑士,103公斤/228磅
场均助攻3.0次,场均盖帽0.35个,投篮命中率为45.3%,罚球命中率为83.9%,场均得分18.4分,场均篮板3.3个,场均抢断0.88次,三分命中率为40.0%,职业生涯场均出战31.0分钟,职业生涯每赛季场均出场70场,NULL,1.91米/6尺3,CJ-麦科勒姆,3,G,本年薪金：万美元,波特兰开拓者,86公斤/190磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.96米/6尺5,亚当,20,G,本年薪金：万美元,芝加哥公牛,86公斤/190磅
场均助攻2.0次,场均盖帽0.39个,投篮命中率为44.2%,罚球命中率为68.3%,场均得分6.5分,场均篮板2.9个,场均抢断1.20次,三分命中率为26.1%,职业生涯场均出战18.9分钟,职业生涯每赛季场均出场48场,NULL,1.91米/6尺3,沙奎尔-哈里森,3,G,本年薪金：万美元,芝加哥公牛,86公斤/189磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,2.08米/6尺10,凯尔-盖伊,NULL,F,本年薪金：万美元,萨克拉门托国王,104公斤/230磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.88米/6尺2,瓦尼亚-马林科维奇,NULL,G,本年薪金：万美元,萨克拉门托国王,77公斤/170磅
场均助攻0.8次,场均盖帽0.68个,投篮命中率为42.2%,罚球命中率为63.6%,场均得分7.0分,场均篮板4.3个,场均抢断0.63次,三分命中率为28.7%,职业生涯场均出战17.8分钟,职业生涯每赛季场均出场48场,新秀合同，2019年夏天签，2023年到期，2022年，2023年球队选项,2.08米/6尺10,马基斯-克里斯,3,F,本年薪金：万美元,克利夫兰骑士,106公斤/233磅
,,,,,,,,,该球员从未在NBA出场过。,NULL,1.96米/6尺5,科斯塔斯-阿德托昆博,21,G,本年薪金：万美元,洛杉矶湖人,93公斤/206磅
