calorie,name
热量：74 大卡(每100克),烧茄子
热量：48 大卡(每100克),绿豆粥
热量：160 大卡(每100克),香菇青菜包，又叫香菇菜包、菜包子、素包子、素包
热量：0 大卡(每100毫升),饮用水，又叫水、自来水
热量：218 大卡(每100克),咖啡粉，又叫速溶咖啡粉
热量：478 大卡(每100克),麦斯威尔 原味咖啡
热量：172 大卡(每100克),星州炒米粉，又叫炒米粉 炒粉
热量：67 大卡(每100克),芒果糯米饭，又叫香芒糯米饭
热量：149 大卡(每100克),咖喱烤鲜虾
热量：239 大卡(每100克),椰汁西米糕
热量：85 大卡(每100克),咖喱杂蔬
热量：271 大卡(每100克),Gulab Jamun，又叫玫瑰球，印度汤圆
热量：201 大卡(每100克),咖喱海鲜豆腐，又叫咖喱皇豆腐
热量：273 大卡(每100克),印度烤馕
热量：53 大卡(每100克),韩国辣白菜，又叫韩国泡菜
热量：117 大卡(每100克),辣炒年糕，又叫韩国辣炒年糕
热量：102 大卡(每100克),朝鲜冷面（自制），又叫韩国冷面 延吉冷面 ...
热量：143 大卡(每100克),紫菜包饭，又叫寿司
热量：106 大卡(每100克),韩式冷面，又叫冷面
热量：141 大卡(每100克),寿司 自制1，又叫寿司卷
热量：105 大卡(每100克),寿司 自制2
热量：224 大卡(每100克),炸鸡，又叫炸翅
热量：159 大卡(每100克),紫菜饭团子，又叫寿司
热量：97 大卡(每100克),日式茶泡饭，又叫茶泡饭
热量：264 大卡(每100克),日式蒸烤乳酪蛋糕，又叫蛋糕
热量：218 大卡(每100克),豆腐皮寿司
热量：74 大卡(每100克),自制黄瓜寿司
热量：96 大卡(每100克),日式马铃薯炖肉，又叫日式土豆炖肉
热量：99 大卡(每100克),茶碗蒸蛋羹
热量：1 大卡(每100毫升),黑咖啡（液），又叫美式、美式咖啡、澳黑
热量：0 大卡(每100毫升),矿泉水，又叫水
热量：32 大卡(每100毫升),啤酒
热量：52 大卡(每100毫升),珍珠奶茶，又叫奶茶
热量：394 大卡(每100克),甜角，又叫Gujiya
热量：161 大卡(每100克),咖喱香蕉培根卷
热量：124 大卡(每100克),韩式烤牛肉
热量：135 大卡(每100克),韩式辣炒鱿鱼
热量：40 大卡(每100克),韩国大酱汤，又叫大酱汤
热量：112 大卡(每100克),辣酱鱿鱼，又叫韩式鱿鱼
热量：159 大卡(每100克),泡菜饼，又叫泡菜煎饼、韩国泡菜饼
热量：328 大卡(每100克),天福茗茶 绿茶粉
热量：328 大卡(每100克),绿茶（茶叶本身），又叫绿茶、茶叶
热量：27 大卡(每100毫升),柠檬汁
热量：125 大卡(每100克),手抓羊肉（宁夏）
热量：223 大卡(每100克),青海抓肉
热量：351 大卡(每100克),Pastavilla蝴蝶形意大利面
热量：400 大卡(每100克),Grace Instant Oats
热量：378 大卡(每100克),Uncle Toby's纯燕麦
热量：380 大卡(每100克),Uncle Toby's 速食燕麦片
热量：383 大卡(每100克),Post玉米早餐麦片
热量：420 大卡(每100克),雅士利 早餐燕麦片
热量：258 大卡(每100克),法国圆面包，又叫法国主食面包
热量：389 大卡(每100克),猫王磅蛋糕，又叫猫王黄油蛋糕
热量：360 大卡(每100克),雀巢 谷物早餐 (Antioxidant ...
热量：415 大卡(每100克),西麦特浓牛奶营养燕麦片（新包装）
热量：430 大卡(每100克),Cadbury谷物棒（葡萄干味）
热量：426 大卡(每100克),私房小厨多谷养生麦片
热量：220 大卡(每100克),香蕉泥面包，又叫香蕉面包
热量：303 大卡(每100克),奶浴香酥小面包
热量：257 大卡(每100克),枸杞面包
热量：465 大卡(每100克),巧克力蛋糕派
热量：503 大卡(每100克),杏仁蛋糕
热量：442 大卡(每100克),蓝莓曲奇，又叫自制蓝莓曲奇
热量：226 大卡(每100克),德式小餐包，又叫德式面包
热量：425 大卡(每100克),自制咖啡豆渣饼干，又叫豆渣饼干
热量：423 大卡(每100克),乳酪布朗尼，又叫乳酪巧克力布朗尼
热量：247 大卡(每100克),绿豆戚风蛋糕，又叫绿豆蛋糕
热量：239 大卡(每100克),法棒，又叫法棍 法式面包 长棍 无油面包 ...
热量：268 大卡(每100克),舒芙蕾奶酪蛋糕
热量：221 大卡(每100克),面包机版法式面包
热量：264 大卡(每100克),法式培根菠菜派，又叫法式咸派，培根菠菜派
热量：355 大卡(每100克),法式叶形烤饼，又叫法式叶形薄面包
热量：69 大卡(每100克),普罗旺斯炖菜
热量：431 大卡(每100克),法式草莓派
热量：70 大卡(每100克),法式沙拉
热量：389 大卡(每100克),尼可拉可颂
热量：468 大卡(每100克),维也纳可可酥饼
热量：161 大卡(每100克),Apple Crumble，又叫苹果金宝
热量：245 大卡(每100克),南瓜哈斯
热量：228 大卡(每100克),火腿卷三文鱼
热量：123 大卡(每100克),牛油果酱
热量：273 大卡(每100克),苏格兰烤蛋，又叫烤苏格兰蛋，烤蛋
热量：283 大卡(每100克),豆浆奶油吐司
热量：213 大卡(每100克),芒果酸奶夹心蛋糕
热量：123 大卡(每100克),西班牙奄列，又叫西班牙土豆煎蛋饼
热量：112 大卡(每100克),和路雪 轻优蛋白质豆乳雪糕
热量：105 大卡(每100克),和路雪 轻优低脂香草味雪糕
热量：435 大卡(每100克),饼干
热量：427 大卡(每100克),O'DAY 高纤奇亚籽苏打饼干，又叫奇亚籽饼干
热量：320 大卡(每100克),蛋糕(黄蛋糕)
热量：556 大卡(每100克),薄荷 巧克力爆米花
热量：625 大卡(每100克),薄荷 坚果巧克力豆
热量：417 大卡(每100克),薄荷 巧克力咖啡豆
热量：526 大卡(每100克),薄荷 冻干草莓巧克力
热量：406 大卡(每100克),薄荷松仁粽子糖
热量：370 大卡(每100克),巴斯克蛋糕
热量：142 大卡(每100克),克拉芙提，又叫樱桃克拉芙提蛋糕
热量：253 大卡(每100克),芙纽多，又叫芙纽多布丁
热量：49 大卡(每100克),法式鱼汤
热量：367 大卡(每100克),枣仁
热量：365 大卡(每100克),亨氏牌婴儿营养米粉DHA蔬菜口味
热量：120 大卡(每100克),天然元 啤酒酵母复合营养片含B族维生素
热量：409 大卡(每100克),米粉（高蛋白，雀巢）
热量：375 大卡(每100克),米粉（高蛋白，亨氏）
热量：210 大卡(每100克),阿拉斯加 康力士谷物提取物复合片（含全家福...
热量：426 大卡(每100克),婴儿营养粉
热量：536 大卡(每100克),美国纤雅奇异子
热量：345 大卡(每100克),婴儿奶糕
热量：271 大卡(每100克),薄荷(干)，又叫蕃荷菜、南薄荷、猫儿薄荷、...
热量：332 大卡(每100克),全麦哈斯，又叫哈斯面包
热量：40 大卡(每100克),亚式菠菜鱼汤
热量：276 大卡(每100克),无油核桃提子面包
热量：317 大卡(每100克),豆腐低脂软曲奇
热量：299 大卡(每100克),芝麻脆片
热量：220 大卡(每100克),提拉米苏冰淇淋
热量：140 大卡(每100克),奶香南瓜蓉，又叫奶香南瓜馅
热量：54 大卡(每100克),木瓜撞奶，又叫Papaya Milk Curd
热量：83 大卡(每100克),黑米黑豆黑芝麻糊
热量：141 大卡(每100克),黑芝麻牛奶燕麦粥
热量：377 大卡(每100克),瓦片烤乳饼
热量：279 大卡(每100克),果仁法式乡村面包
热量：196 大卡(每100克),无油南瓜面包，又叫低卡面包机食谱
热量：265 大卡(每100克),自制固元膏
热量：102 大卡(每100克),蒸地瓜，又叫煮红薯
热量：63 大卡(每100克),茄汁土豆狮子头
热量：190 大卡(每100克),蓝莓西米冻
热量：416 大卡(每100克),自制葱油小桃酥，又叫桃酥，葱油桃酥
热量：304 大卡(每100克),东坡酥
热量：291 大卡(每100克),牛油面包，又叫牛油面包
热量：213 大卡(每100克),香蕉戚风，又叫香蕉戚风，戚风蛋糕
热量：279 大卡(每100克),家庭自制老面包
热量：49 大卡(每100克),西湖牛肉粥
热量：175 大卡(每100克),蓝莓豆腐生奶酪
热量：225 大卡(每100克),无油甜面包（面包机版），又叫低卡健康面包
热量：242 大卡(每100克),乡村吐司，又叫吐司面包
热量：275 大卡(每100克),紫薯糯米糍
热量：300 大卡(每100克),香草戚风蛋糕，又叫戚风蛋糕
热量：430 大卡(每100克),blueberry boy bait，又叫...
热量：276 大卡(每100克),自制北海道吐司，又叫北海道吐司
热量：251 大卡(每100克),焦糖戚风，又叫戚风蛋糕
热量：44 大卡(每100克),腌芥菜头，又叫煮芥，煮疙瘩
热量：184 大卡(每100克),家乐牌浓汤宝（牛肉味）
热量：14 大卡(每100克),五香醋
热量：161 大卡(每100克),家乐牌浓汤宝（浓滑鱼汤）
热量：38 大卡(每100克),黄豆酱油
热量：276 大卡(每100克),光明奶酪酱（原味）
热量：17 大卡(每100克),腌韭菜花
热量：633 大卡(每100克),花生酱（加巧克力）
热量：323 大卡(每100克),家乐牌海鲜汤
热量：93 大卡(每100克),海会寺白菜豆腐乳
热量：59 大卡(每100克),鱼丸粗面（含汤）
热量：144 大卡(每100克),天妇罗
热量：223 大卡(每100克),抹茶小仓蒸糕，又叫抹茶蛋糕 蒸糕
热量：226 大卡(每100克),时蔬天妇罗
